date,time,country,country_code,opposing_country,spi,opposing_spi,spi_offense,opposing_spi_offense,spi_defense,opposing_spi_defense,sixteen,win
24-Jun,1:00,Switzerland,SUI,ARG,78.08,89.63,2.1497,2.7355,1.0474,0.4271,0.6068,0
24-Jun,1:00,Uruguay,URU,COL,81.49,87.38,2.2369,2.4055,0.8522,0.4584,0.4224,0
24-Jun,1:00,USA,USA,BEL,78.85,83.24,2.1611,2.148,0.9996,0.6549,0.7572,0
24-Jun,18:00,Algeria,ALG,GER,74.33,88.63,2.0422,3.1647,1.2336,0.7912,0.6351,1
24-Jun,18:00,Argentina,ARG,SUI,89.63,78.08,2.7355,2.1497,0.4271,1.0474,1,1
24-Jun,18:00,Belgium,BEL,USA,83.24,78.85,2.148,2.1611,0.6549,0.9996,1,1
24-Jun,18:00,Brazil,BRA,CHI,91.3,86.51,3.2355,2.5638,0.5203,0.6397,1,1
24-Jun,18:00,Chile,CHI,BRA,86.51,91.3,2.5638,3.2355,0.6397,0.5203,1,0
24-Jun,18:00,Colombia,COL,URU,87.38,81.49,2.4055,2.2369,0.4584,0.8522,1,1
24-Jun,18:00,Costa Rica,CRC,GRE,78.53,72.83,1.5816,1.1075,0.6108,0.6136,1,1
24-Jun,18:00,France,FRA,NGA,87.82,76.19,2.7444,1.5304,0.6244,0.7288,1,1
24-Jun,18:00,Germany,GER,ALG,88.63,74.33,3.1647,2.0422,0.7912,1.2336,0.9973,0
24-Jun,18:00,Greece,GRE,CRC,72.83,78.53,1.1075,1.5816,0.6136,0.6108,0.1951,0
24-Jun,18:00,Mexico,MEX,NED,80.23,87.42,1.6356,2.812,0.5319,0.7052,1,0
24-Jun,18:00,Netherlands,NED,MEX,87.42,80.23,2.812,1.6356,0.7052,0.5319,1,1
24-Jun,18:00,Nigeria,NGA,FRA,76.19,87.82,1.5304,2.7444,0.7288,0.6244,0.874,0
24-Jun,18:00,Switzerland,SUI,ARG,78.08,89.63,2.1497,2.7355,1.0474,0.4271,0.603,0
24-Jun,18:00,Uruguay,URU,COL,81.49,87.38,2.2369,2.4055,0.8522,0.4584,1,0
24-Jun,18:00,USA,USA,BEL,78.85,83.24,2.1611,2.148,0.9996,0.6549,0.7668,0
25-Jun,9:30,Algeria,ALG,GER,74.32,88.62,2.0416,3.1686,1.2344,0.7927,0.6224,1
25-Jun,9:30,Argentina,ARG,SUI,89.65,78.11,2.7396,2.1503,0.4256,1.0465,1,1
25-Jun,9:30,Belgium,BEL,USA,83.12,78.85,2.134,2.1632,0.6552,1.0015,1,1
25-Jun,9:30,Brazil,BRA,CHI,91.27,86.6,3.2346,2.5703,0.521,0.6345,1,1
25-Jun,9:30,Chile,CHI,BRA,86.6,91.27,2.5703,3.2346,0.6345,0.521,1,0
25-Jun,9:30,Colombia,COL,URU,88.18,82.21,2.5068,2.209,0.4405,0.7769,1,1
25-Jun,9:30,Costa Rica,CRC,GRE,78.59,74.37,1.5038,1.1835,0.5506,0.5811,1,1
25-Jun,9:30,France,FRA,NGA,87.8,76.16,2.744,1.5231,0.6238,0.7259,0.9998,1
25-Jun,9:30,Germany,GER,ALG,88.62,74.32,3.1686,2.0416,0.7927,1.2344,0.997,0
25-Jun,9:30,Greece,GRE,CRC,74.37,78.59,1.1835,1.5038,0.5811,0.5506,1,0
25-Jun,9:30,Mexico,MEX,NED,80.16,87.4,1.6322,2.8013,0.534,0.6993,1,0
